name_first,name_last,hand,birthdate,country,gender
Roy,Barth,R,19470330.0,USA,male
Onny,Parun,R,19470415.0,NZL,male
Humphrey,Hose,R,19470504.0,VEN,male
Han Jurgen,Pohmann,R,19470523.0,GER,male
Dan,Bleckinger,R,19470527.0,USA,male
Gerald,Battrick,R,19470527.0,GBR,male
Steve,Faulk,R,19470601.0,USA,male
Zeljko,Franulovic,R,19470613.0,CRO,male
Peter,Szoke,R,19470808.0,HUN,male
Peter,Fishbach,R,19470829.0,USA,male
Robert,Lutz,R,19470829.0,USA,male
Dick,Dell,R,19470929.0,USA,male
Jun,Kamiwazumi,R,19471001.0,JPN,male
Marcello,Lara,R,19471005.0,MEX,male
Ismail,El Shafei,R,19471115.0,EGY,male
Toshiro,Sakai,R,19471123.0,JPN,male
Lito,Alvarez,R,19471205.0,ARG,male
Karl,Coombes,R,19471217.0,AUS,male
David,Lloyd,R,19480103.0,GBR,male
Patrice,Hagelauer,R,19480105.0,FRA,male
Peter,Kanderal,R,19480116.0,SUI,male
Ramiro,Benavides,R,19480130.0,BOL,male
Jasjit,Singh,R,19480204.0,IND,male
Stanley,Pasarell,R,19480211.0,USA,male
John,Bartlett,R,19480317.0,AUS,male
Vladimir,Korotkov,R,19480423.0,RUS,male
Georges,Goven,R,19480426.0,FRA,male
Jurgen,Fassbender,R,19480528.0,GER,male
Brian,Fairlie,R,19480613.0,NZL,male
Tom,Leonard,R,19480715.0,USA,male
Bill,Lofgren,R,19480731.0,USA,male
Steve,Siegel,R,19480904.0,USA,male
Gene Stuart,Malin,R,19481001.0,USA,male
Sever,Muresan,R,19481023.0,ROU,male
Kenneth,Mcmillan,R,19481125.0,USA,male
Ian,Fletcher,R,19481201.0,AUS,male
Bernard,Mignot,R,19481203.0,BEL,male
John,Yuill,R,19481212.0,RSA,male
Modesto Tito,Vazquez,R,19490101.0,ESP,male
Andrew,Pattison,R,19490130.0,USA,male
Manuel,Orantes,L,19490206.0,ESP,male
Zan,Guerry,R,19490212.0,USA,male
Hans,Kary,L,19490223.0,AUT,male
Pavel,Hutka,R,19490228.0,CZE,male
Bob,Giltinan,R,19490407.0,AUS,male
Karl,Meiler,R,19490430.0,GER,male
Bill,Lloyd,R,19490507.0,AUS,male
Larry,Turville,R,19490604.0,USA,male
Mike,Estep,R,19490719.0,USA,male
Jim,Ward,R,19490728.0,USA,male
Lars,Elvstrom,R,19490818.0,DEN,male
Patrick,Proisy,R,19490910.0,FRA,male
Jeff,Borowiak,R,19490925.0,USA,male
Luis Felipe,Tavares,R,19490926.0,BRA,male
John,Fort,R,19490928.0,USA,male
Dale,Power,R,19491002.0,CAN,male
Norman,Holmes,R,19491005.0,USA,male
Doug,Crawford,R,19491015.0,USA,male
Kent,Crawford,R,19491015.0,USA,male
Wanaro,Ngodrella,R,19491019.0,FRA,male
Larry,Parker,R,19491023.0,USA,male
Nicolas,Kelaidis,R,19491029.0,GRE,male
Haroon,Rahim,R,19491112.0,PAK,male
Alejandro,Pierola,R,19491120.0,CHI,male
Alvaro,Betancur,R,19500103.0,COL,male
Patrice,Dominguez,L,19500112.0,FRA,male
Antonio,Zugarelli,R,19500117.0,ITA,male
Syd,Ball,R,19500124.0,AUS,male
George,Amaya,L,19500212.0,USA,male
Phil,Dent,R,19500214.0,AUS,male
Pancho,Walthall,R,19500216.0,USA,male
Paul,Gerken,R,19500315.0,USA,male
Kenichi,Hirai,R,19500319.0,JPN,male
Noel,Phillips,R,19500328.0,AUS,male
Dick R,Bohrnstedt,R,19500428.0,USA,male
George,Taylor,R,19500504.0,USA,male
Steve,Docherty,R,19500506.0,AUS,male
Louk,Sanders,R,19500509.0,NED,male
Franklin,Robbins,R,19500613.0,USA,male
Fred,Hemmes,U,19500614.0,NED,male
Adriano,Panatta,R,19500709.0,ITA,male
Fred,Mcnair,R,19500722.0,USA,male
Charles,Owens,R,19500731.0,USA,male
Robert,Mckinley,R,19500805.0,USA,male
Butch,Palmer,R,19500904.0,USA,male
Geoff,Masters,R,19500919.0,AUS,male
Jiri,Hrebec,R,19500919.0,CZE,male
Carlos,Kirmayr,R,19500923.0,BRA,male
Mike,Powers,R,19500924.0,USA,male
Jeff,Simpson,R,19501029.0,NZL,male
Peter,Campbell,R,19501110.0,AUS,male
Peter,Doerner,R,19501117.0,AUS,male
Mike,Machette,R,19510127.0,USA,male
Alvin,Gardiner,R,19510211.0,AUS,male
Kjell,Johansson,R,19510212.0,SWE,male
Dick,Stockton,R,19510218.0,USA,male
Welry,Fritz,R,19510219.0,CAN,male
Erik,Van Dillen,R,19510221.0,USA,male
Eddie,Dibbs,R,19510223.0,USA,male
Ricardo,Cano,R,19510226.0,ARG,male
Allan,Mcdonald,R,19510301.0,AUS,male
Antonio,Munoz,R,19510301.0,ESP,male
John,James,R,19510307.0,AUS,male
Bill,Freer,R,19510309.0,RSA,male
Rick,Fisher,R,19510329.0,USA,male
Hans,Engert,R,19510422.0,GER,male
Joao,Soares,R,19510425.0,BRA,male
Joel,Bailey,R,19510425.0,USA,male
Mike,Collins,R,19510501.0,GBR,male
Steve,Krulevitz,R,19510530.0,USA,male
John,Alexander,R,19510704.0,AUS,male
Jeff,Austin,R,19510705.0,USA,male
Frank,Puncec,R,19510709.0,RSA,male
Rolf,Thung,L,19510727.0,NED,male
Max,Hurlimann,R,19510730.0,SUI,male
Paolo,Bertolucci,R,19510803.0,ITA,male
Woody,Blocher,R,19510824.0,USA,male
Grover Raz,Reid,R,19510827.0,USA,male
Tim,Gullikson,R,19510908.0,USA,male
Tom,Gullikson,L,19510908.0,USA,male
George,Glowa,R,19511001.0,USA,male
Roscoe,Tanner,L,19511015.0,USA,male
Luis,Baraldi,R,19511021.0,MEX,male
Ross,Case,R,19511101.0,AUS,male
Jorge,Andrew,R,19511102.0,VEN,male
Peter,Feigl,R,19511130.0,AUT,male
Gary,Groslimond,R,19520103.0,USA,male
Brian,Gottfried,R,19520127.0,USA,male
Rolf,Norberg,R,19520131.0,SWE,male
John,Andrews,R,19520205.0,USA,male
Lajos,Levai,R,19520207.0,YUG,male
Cliff,Letcher,R,19520209.0,AUS,male
John,Feaver,R,19520216.0,GBR,male
Rayno,Seegers,R,19520229.0,RSA,male
Denis,Naegelen,R,19520314.0,FRA,male
Joe,Garcia,R,19520317.0,USA,male
Anand,Amritraj,R,19520320.0,IND,male
Jean Francois,Caujolle,L,19520331.0,FRA,male
Sandy,Mayer,R,19520405.0,USA,male
Kim,Warwick,R,19520408.0,AUS,male
Eric,Deblicker,R,19520417.0,FRA,male
Hartmut,Kirchhubel,R,19520423.0,GER,male
Terry,Moor,L,19520423.0,USA,male
Jacques,Thamin,R,19520523.0,FRA,male
Frank,Gebert,R,19520611.0,GER,male
Mike,Cahill,R,19520617.0,USA,male
Wojtek,Fibak,R,19520803.0,POL,male
Sashi,Menon,R,19520809.0,IND,male
Guillermo,Vilas,L,19520817.0,ARG,male
Andre,Zietsmann,R,19520819.0,RSA,male
Jimmy,Connors,L,19520902.0,USA,male
Rod,Frawley,R,19520908.0,AUS,male
Harold,Solomon,R,19520917.0,USA,male
Robin,Drysdale,R,19520918.0,GBR,male
Tenny,Svensson,R,19520921.0,SWE,male
Byron,Bertram,R,19521029.0,RSA,male
Timothy,Noonan,R,19521031.0,USA,male
Ian,Harris,R,19521116.0,USA,male
Alvaro,Fillol,R,19521204.0,CHI,male
John,Marks,R,19521209.0,AUS,male
Rejean,Genois,R,19521230.0,CAN,male
Richard,Legendre,R,19530119.0,CAN,male
Chris,Gunning,R,19530207.0,NZL,male
Corrado,Barazzutti,R,19530219.0,ITA,male
George,Hardie,L,19530219.0,USA,male
James Chico,Hagey,R,19530225.0,USA,male
Jose,Higueras,R,19530301.0,ESP,male
Jim,Delaney,R,19530312.0,USA,male
Joaquim,Rasgado Jr,R,19530324.0,BRA,male
Henry,Bunis,R,19530327.0,USA,male
Robert,Kreiss,R,19530430.0,USA,male
Mark,Farrell,R,19530506.0,GBR,male
Michael,Wayman,R,19530506.0,GBR,male
Paul,Torre,R,19530518.0,FRA,male
Robert,Trogolo,R,19530615.0,RSA,male
Raul,Ramirez,R,19530620.0,MEX,male
Mike,Myburg,R,19530623.0,RSA,male
Ulises,Quezada,R,19530714.0,CHI,male
Chiraid,Mukherjea,R,19530814.0,IND,male
Keith,Richardson,R,19530818.0,USA,male
Bernard,Fritz,R,19531005.0,FRA,male
Hank,Pfister,R,19531009.0,USA,male
Scott,Carnahan,R,19531024.0,USA,male
Stephen,Warboys,R,19531025.0,GBR,male
Roger,Guedes,R,19531103.0,BRA,male
Rick,Fagel,R,19531129.0,USA,male
Mark,Meyers,R,19531205.0,USA,male
Vijay,Amritraj,R,19531214.0,IND,male
Emilio,Montano,R,19531218.0,MEX,male
Givaldo,Barbosa,R,19540125.0,BRA,male
John,Whitlinger,R,19540204.0,USA,male
Ulrich,Pinner,R,19540207.0,GER,male
Russell,Simpson,R,19540222.0,NZL,male
Willem,Prinsloo,R,19540225.0,RSA,male
Rand,Evett,R,19540301.0,USA,male
Otto,Panman,R,19540325.0,NED,male
David,Imonitie,R,19540410.0,NGR,male
Jean Louis,Haillet,R,19540507.0,FRA,male
Balazs,Taroczy,R,19540509.0,HUN,male
Shigeyuki,Nishio,R,19540523.0,JPN,male
Ernie,Ewert,R,19540605.0,AUS,male
David,Parker,R,19540607.0,USA,male
Guillermo,Aubone,L,19540608.0,ARG,male
Mark,Edmondson,R,19540624.0,AUS,male
Benjy,Robins,R,19540630.0,USA,male
Victor,Amaya,L,19540702.0,USA,male
Sam,Vuille,R,19540706.0,USA,male
Gonzalo,Nunez,R,19540721.0,USA,male
Vitas,Gerulaitis,R,19540726.0,USA,male
John,Lloyd,R,19540827.0,GBR,male
Eric,Friedler,R,19540908.0,USA,male
Pat,Dupre,R,19540916.0,USA,male
Paul,Kronk,R,19540922.0,AUS,male
Peter,Kronk,R,19540922.0,AUS,male
Gerard,Toulon,R,19540924.0,FRA,male
Glen,Holroyd,R,19540925.0,USA,male
Franz Josef,Wich,R,19541011.0,GER,male
Freddie,De Jesus,R,19541030.0,PUR,male
John,Lucas,R,19541031.0,USA,male
Bruce,Kleege,R,19541101.0,USA,male
Bernard,Mitton,R,19541109.0,RSA,male
Victor,Eke,R,19541111.0,AUS,male
Paul,Mcnamee,R,19541112.0,AUS,male
Bhanu,Nunna,R,19541113.0,IND,male
Mike,Fishbach,R,19541201.0,USA,male
Richard,Lewis,L,19541206.0,GBR,male
Brian,Teacher,R,19541223.0,USA,male
Willie,Davies,R,19550101.0,GBR,male
Peter,Fleming,R,19550121.0,USA,male
Jiri,Granat,R,19550128.0,CZE,male
Jonathan,Smith,R,19550129.0,GBR,male
Peter,Holl,R,19550129.0,GER,male
Heiner,Seuss,R,19550204.0,GER,male
Belus,Prajoux,R,19550227.0,CHI,male
Haroon,Ismail,R,19550227.0,ZIM,male
Herve,Gauvain,R,19550304.0,FRA,male
Helmut,Beermann,R,19550309.0,GER,male
Robert,Baumgartner,R,19550311.0,GER,male
Trey,Waltke,R,19550316.0,USA,male
Christopher,Sylvan,R,19550318.0,USA,male
Javier,Soler,L,19550325.0,ESP,male
John,Hayes,R,19550407.0,USA,male
Buster C,Mottram,R,19550425.0,GBR,male
Colin,Dowdeswell,R,19550512.0,GBR,male
David,Schneider,R,19550517.0,USA,male
Craig,Edwards,R,19550519.0,USA,male
Butch,Walts,R,19550604.0,USA,male
Michael,Greenberg,R,19550611.0,USA,male
Chris,Kachel,R,19550619.0,AUS,male
Peter,Mcnamara,R,19550705.0,AUS,male
Alejandro,Cortes,R,19550714.0,COL,male
Filip,Krajcik,R,19550723.0,AUT,male
Jose,Garcia G003,R,19550723.0,ESP,male
Jiri,Prucha,R,19550810.0,CZE,male
Peter,Pearson,R,19550812.0,USA,male
Horace,Reid,R,19550814.0,USA,male
Trevor,Allan,L,19550817.0,AUS,male
Larry,Davidson,R,19550821.0,USA,male
Richard,Meyer,R,19550904.0,USA,male
Marcos,Hocevar,R,19550926.0,BRA,male
Angel,Gimenez,R,19551010.0,ESP,male
Victor,Pecci,R,19551015.0,PAR,male
Martin,Robinson,L,19551019.0,GBR,male
Terry,Rocavert,R,19551021.0,AUS,male
Julio,Goes,R,19551025.0,BRA,male
Rocky,Maguire,R,19551027.0,USA,male
Hubertus,Hoyt,R,19551103.0,USA,male
Sean,Sorensen,R,19551112.0,IRL,male
Francisco,Gonzalez,R,19551119.0,PAR,male
Rolf,Gehring,R,19551125.0,GER,male
David,Sherbeck,R,19551202.0,USA,male
Fernando,Maynetto,R,19551202.0,PER,male
Greg,Halder,R,19551205.0,CAN,male
Dale,Collings,R,19551216.0,AUS,male
Gary,Plock,R,19551221.0,USA,male
Randy,Crawford,R,19551222.0,USA,male
Tim,Garcia,R,19551228.0,USA,male
Pavel,Slozil,R,19551229.0,CZE,male
Bruce,Nichols,R,19551231.0,USA,male
Ulrich,Marten,R,19560101.0,GER,male
Gunther,Gnettner,R,19560112.0,GER,male
Michael,Grant,R,19560203.0,USA,male
Bill,Maze,R,19560209.0,USA,male
Hans,Gildemeister,R,19560209.0,CHI,male
Geoff,Martinez,R,19560213.0,USA,male
Todd,Lundy,R,19560217.0,USA,male
Hans,Ritschard,R,19560225.0,SUI,male
Jan,Norback,R,19560306.0,SWE,male
Bruce,Manson,L,19560320.0,USA,male
Jochen,Hierl,R,19560321.0,GER,male
Warren,Eber,R,19560328.0,USA,male
Junie,Chatman,R,19560329.0,USA,male
Hans Peter,Kandler,R,19560402.0,AUT,male
Ferrante,Rocchi,L,19560411.0,ITA,male
Gene,Mayer,R,19560411.0,USA,male
Miguel,Mir,R,19560418.0,ESP,male
David,Carter,R,19560421.0,AUS,male
Mansour,Bahrami,R,19560426.0,IRI,male
Robert,Bettauer,R,19560502.0,CAN,male
Fritz,Don,R,19560513.0,NED,male
Tomas,Smid,R,19560520.0,CZE,male
Regis,Brunet,R,19560531.0,FRA,male
Nick,Saviano,L,19560605.0,USA,male
Bjorn,Borg,R,19560606.0,SWE,male
Carlos,Gattiker,R,19560606.0,ARG,male
Mike,Barr,R,19560627.0,USA,male
Eddie,Edwards,R,19560703.0,RSA,male
Mark,Darby,R,19560703.0,USA,male
Gianni,Marchetti,R,19560708.0,ITA,male
Christophe,Freyss,L,19560830.0,FRA,male
Werner,Zirngibl,R,19560904.0,GER,male
Steve,Denton,R,19560905.0,USA,male
John,Sadri,R,19560919.0,USA,male
Juan,Nunez,R,19560923.0,CHI,male
Bruce,Foxworth,R,19560925.0,USA,male
Stanislav,Birner,R,19561011.0,CZE,male
Leo,Palin,R,19561020.0,FIN,male
Tony,Graham,R,19561029.0,USA,male
Bill,Scanlon,R,19561113.0,USA,male
Jose Luis,Damiani,R,19561121.0,URU,male
Mehl,Ampon,R,19561130.0,USA,male
Tony,Lloyd,R,19561203.0,GBR,male
Ferdi,Taygan,R,19561205.0,USA,male
Carlos,Soares,R,19561213.0,BRA,male
Pedro,Gonzalez G162,R,19561218.0,PUR,male
Tracy,Delatte,R,19561222.0,USA,male
Jose,Lopez Maeso,R,19561224.0,ESP,male
Billy,Martin,R,19561225.0,USA,male
Jeff,Etterbeek,R,19561231.0,USA,male
Ben,Mckown,R,19570111.0,USA,male
Warren,Maher,R,19570115.0,AUS,male
Mike,Shore,R,19570120.0,USA,male
Maurice,Hunter,R,19570127.0,USA,male
Mark,Turpin,R,19570204.0,USA,male
Dominique,Bedel,R,19570220.0,FRA,male
Ashok,Amritraj,R,19570222.0,IND,male
Juan Carlos,Andrade,R,19570222.0,ESP,male
Mark,Vines,L,19570223.0,USA,male
Craig,Wittus,R,19570224.0,USA,male
Glenn,Petrovic,R,19570303.0,USA,male
Chris,Lewis Nzl,R,19570309.0,NZL,male
Matt,Mitchell,R,19570316.0,USA,male
Nigel,Sears,R,19570404.0,GBR,male
Gianni,Ocleppo,R,19570406.0,ITA,male
Pascal,Deniau,R,19570407.0,FRA,male
Reinhart,Probst,R,19570417.0,GER,male
Josef,Brabenec,R,19570424.0,CAN,male
Roberto,Vizcaino,R,19570425.0,ESP,male
Jochen,Settelmeyer,R,19570507.0,GER,male
Christophe,Casa,R,19570530.0,FRA,male
Pem,Guerry,R,19570606.0,USA,male
Tsuyoshi,Fukui,R,19570622.0,JPN,male
Christophe Roger,Vasselin,R,19570708.0,FRA,male
Renald,Etienne,R,19570714.0,USA,male
Chris,Delaney,R,19570716.0,USA,male
Larry,Stefanki,R,19570723.0,USA,male
Jaroslav,Navratil,R,19570724.0,CZE,male
Alan,Chandronnait,R,19570731.0,USA,male
John,Austin,R,19570731.0,USA,male
Eric,Sherbeck,R,19570807.0,USA,male
John,Picken,R,19570809.0,CAN,male
Wayne,Hampson,R,19570823.0,AUS,male
Charles Buzz,Strode,R,19570905.0,USA,male
Markus,Gunthardt,R,19570910.0,SUI,male
Klaus,Eberhard,R,19570915.0,GER,male
Chris,Mayotte,R,19570916.0,USA,male
Rohun,Beven,R,19570921.0,GBR,male
Gregoire,Rafaitin,R,19570926.0,FRA,male
Vincent,Van Patten,R,19571017.0,USA,male
Lorenzo,Fargas,R,19571019.0,ESP,male
Jerome,Vanier,L,19571102.0,FRA,male
Famiano,Meneschincheri,R,19571113.0,ITA,male
Howard,Schoenfield,R,19571115.0,USA,male
Curt,Stalder,R,19571120.0,USA,male
Peter,Spang,R,19571120.0,GER,male
Joakim,Berner,R,19571121.0,FIN,male
Franco,Merlone,R,19571216.0,ITA,male
Kevin,Manning,R,19571218.0,USA,male
Robert,Reininger,R,19580101.0,AUT,male
Hugo,Roverano,R,19580103.0,URU,male
Manfred,Jungnitsch,R,19580103.0,GER,male
Shlomo,Glickstein,R,19580106.0,ISR,male
Andrew,Jarrett,R,19580109.0,GBR,male
Matt,Doyle,R,19580113.0,USA,male
Ricardo,Acuna,R,19580113.0,CHI,male
Scott,Mccain,R,19580115.0,USA,male
Juan,Farrow,R,19580118.0,USA,male
Doug,Adler,L,19580120.0,USA,male
Chris,Dunk,R,19580123.0,USA,male
Erick,Iskersky,R,19580125.0,USA,male
Shozo,Shiraishi,R,19580127.0,JPN,male
Gilles,Moretton,R,19580210.0,FRA,male
Ricardo,Ycaza,R,19580216.0,ECU,male
Chris,Bradnam,R,19580226.0,GBR,male
Randy,Druz,R,19580226.0,USA,male
Kevin,Curren,R,19580302.0,USA,male
Andreas,Maurer,R,19580308.0,GER,male
Arnaud,Decugis,R,19580325.0,FRA,male
Johan,Kriek,R,19580405.0,USA,male
Paul,Avis,R,19580414.0,RSA,male
Steve,Meister,R,19580421.0,USA,male
Tony,Giammalva,R,19580421.0,USA,male
Fernando,Luna,R,19580424.0,ESP,male
Mike,Brunnberg,R,19580504.0,USA,male
Alejandro,Gattiker,R,19580505.0,ARG,male
Rick,Meyers,R,19580514.0,USA,male
Drew,Gitlin,R,19580526.0,USA,male
Jan,Kallquist,R,19580531.0,SWE,male
Geoff,Macdonald,R,19580605.0,USA,male
Peter,Elter,R,19580610.0,GER,male
Tony,Mmoh,R,19580614.0,NGR,male
Deon,Joubert,L,19580619.0,RSA,male
Eric,Fromm,R,19580627.0,USA,male
Rocky,Royer,R,19580627.0,USA,male
Ivan,Kley,R,19580629.0,BRA,male
Jeff,Lee,R,19580702.0,USA,male
Brad,Guan,R,19580710.0,AUS,male
Brad,Drewett,L,19580719.0,AUS,male
Norbert,Henn,R,19580802.0,GER,male
Nduka,Odizor,R,19580809.0,NGR,male
Matthew,Mcdonald,R,19580811.0,USA,male
Jose Luis,Clerc,R,19580816.0,ARG,male
Brian,Levine,R,19580820.0,RSA,male
Jai,Dilouie,R,19580911.0,USA,male
Rodney,Crowley,R,19580922.0,USA,male
Mike,Gandolfo,R,19581003.0,USA,male
Jacques,Manset,R,19581011.0,USA,male
Peter,Smylie,R,19581011.0,AUS,male
Tom,Cain,R,19581011.0,USA,male
Joel,Hoffman,R,19581014.0,USA,male
Cary,Stansbury,R,19581017.0,USA,male
Lloyd,Bourne,R,19581018.0,USA,male
Hitoshi,Shirato,R,19581019.0,JPN,male
Chip,Hooper,R,19581024.0,USA,male
John,Mattke,R,19581029.0,USA,male
Toru,Yonezawa,R,19581031.0,JPN,male
Marty,Davis,R,19581115.0,USA,male
Mark,Freedman,R,19581119.0,USA,male
Ney,Keller,R,19581202.0,BRA,male
Ron,Hightower,R,19581212.0,USA,male
Peter,Rennert,L,19581226.0,USA,male
Andy,Andrews,R,19590101.0,USA,male
John,Huebner,R,19590112.0,USA,male
Rory,Chappell,R,19590113.0,RSA,male
Brent,Pirow,R,19590206.0,RSA,male
Heinz,Gunthardt,R,19590208.0,SUI,male
Rick,Cowden,R,19590209.0,USA,male
John,Mcenroe,L,19590216.0,USA,male
Tom,Caine,R,19590228.0,USA,male
Jeff,Robbins,R,19590301.0,USA,male
Peter,Lamb,R,19590312.0,RSA,male
Van,Winitsky,L,19590312.0,USA,male
Eliot,Teltscher,R,19590315.0,USA,male
